what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326967864723
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326967873178
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326967875014
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326967876263
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326967877117
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326967878704
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326967892200
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326967896887
opened,view,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms.views.LogCatView",1326967897201
opened,view,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms.views.DeviceView",1326967897263
opened,view,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms.views.EmulatorControlView",1326967897430
opened,view,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms.views.ThreadView",1326967897481
activated,perspective,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms.Perspective",1326967897554
activated,view,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms.views.ThreadView",1326967897572
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1326967897650
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1326967897650
activated,view,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms.views.LogCatView",1326967903469
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.views.showView",1326967903476
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.501.v201108231700,"org.eclipse.jst.j2ee.J2EEPerspective",1326967909542
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1326967909558
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1326967919497
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1326967920969
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326967921466
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326967950895
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326967953721
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326967968013
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326967969858
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326967971083
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326967972094
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326967975046
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326967977734
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326968123827
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326968133318
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326968155049
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1326968161681
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1326968167186
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1326968174694
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326968197841
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326968211866
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1326968213616
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326968222256
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326968223350
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1326968225197
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1326968227766
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1326968231710
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326968245762
activated,view,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms.views.LogCatView",1326968266714
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326968297763
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1326968297794
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1326968318503
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1326968320300
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1326968323943
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1326968355694
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1326968355830
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326968359788
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326973435335
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326973438751
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326973552419
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1326973565359
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1326973572236
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326973579463
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326973581199
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326973605062
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326973606811
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326973611269
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1326973747119
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326973747249
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1326973748117
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326973750117
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326973765527
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1326973775325
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1326973791261
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1326973792207
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1326973798072
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1326973798803
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1326973805743
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326973814595
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326973849954
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1326973854051
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326973889380
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326973890695
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326973892805
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326974143455
activated,view,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms.views.LogCatView",1326974147664
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1326974155986
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1326974163835
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1326974167659
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1326974174893
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1326974190583
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1326974192451
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1326974199576
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1326974203321
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1326974216470
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1326974217430
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1326974224239
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1326974228787
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326974245986
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326974280931
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1326974283451
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1326974284765
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1326974285749
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326974297060
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326974318756
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326974322862
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326974335530
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1326974338964
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326974348627
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1326974356024
